
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F8:64:B8:44:5A:80, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  9, 130, WPA2, CCMP TKIP, PSK, -68,        1,        0,   0.  0.  0.  0,  12, Rich KH Team, 
B2:A7:B9:AE:2B:B9, 2025-03-11 17:11:09, 2025-03-11 17:11:09,  8, 540, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,   0, , 
58:8F:4C:BA:96:F6, 2025-03-11 17:11:09, 2025-03-11 17:11:09,  9, 130, WPA2, CCMP, PSK, -38,        1,        0,   0.  0.  0.  0,   4, Test, 
C4:EB:FF:58:A3:B4, 2025-03-11 17:11:09, 2025-03-11 17:11:10, 11, 130, WPA2, CCMP, PSK, -82,        2,        0,   0.  0.  0.  0,   9, Lucky Day, 
24:46:E4:23:C7:CC, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  9, 130, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  17, CTTR COMPANY-2.5G, 
98:DE:D0:83:C8:98, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  1,  -1, WPA, ,   ,  -1,        0,       26,   0.  0.  0.  0,   0, , 
A4:2B:B0:EF:FD:5E, 2025-03-11 17:11:09, 2025-03-11 17:11:09,  1, 195, WPA2 WPA, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   9, Bunchheng, 
82:74:8D:10:6B:09, 2025-03-11 17:11:09, 2025-03-11 17:11:09,  1, 360, WPA2 WPA, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,  12, GeniusResort, 
68:FF:7B:3C:3A:EB, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  1, 270, WPA2, CCMP TKIP, PSK, -83,        3,        0,   0.  0.  0.  0,   9, KanhaDigi, 
98:DA:C4:74:94:56, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  1, 195, WPA2 WPA, CCMP, PSK, -74,        3,        0,   0.  0.  0.  0,   9, Srey Pich, 
24:46:E4:24:47:D4, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  2, 130, WPA2, CCMP, PSK, -55,        3,        0,   0.  0.  0.  0,  20, CTTR JAPANESE SCHOOL, 
24:CF:24:34:01:02, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  2, 130, WPA2, CCMP TKIP, PSK, -65,        3,        1,   0.  0.  0.  0,  25, CTTR JAPANESE SCHOOL_Plus, 
90:61:0C:1C:C2:EB, 2025-03-11 17:11:09, 2025-03-11 17:11:09,  1, 135, WPA2, CCMP TKIP, PSK, -85,        1,        0,   0.  0.  0.  0,   9, KanhaDigi, 
6C:E8:74:45:8A:9C, 2025-03-11 17:11:09, 2025-03-11 17:11:09,  7, 130, WPA2 WPA, CCMP TKIP, PSK, -83,        2,        0,   0.  0.  0.  0,   5, V-RUN, 
50:D2:F5:48:2D:87, 2025-03-11 17:11:09, 2025-03-11 17:11:10,  3, 130, WPA2, CCMP TKIP, PSK, -75,        2,        2,   0.  0.  0.  0,  15, RUN-VGR-01_plus, 
36:60:F9:A9:92:9C, 2025-03-11 17:11:09, 2025-03-11 17:11:09,  3, 540, WPA2, CCMP, PSK, -72,        1,        0,   0.  0.  0.  0,   0, , 
E8:4D:74:EB:7F:FC, 2025-03-11 17:11:10, 2025-03-11 17:11:10,  3, 130, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  12, Kp transport, 
A4:7E:39:08:1C:96, 2025-03-11 17:11:10, 2025-03-11 17:11:10,  8, 270, WPA2 WPA, CCMP, PSK, -87,        1,        1,   0.  0.  0.  0,  17, Hammer Colab 2018, 
34:60:F9:99:92:9C, 2025-03-11 17:11:10, 2025-03-11 17:11:10,  3, 540, WPA2, CCMP, PSK, -73,        2,        0,   0.  0.  0.  0,  10, Nhek Thida, 
50:D2:F5:22:08:D4, 2025-03-11 17:11:10, 2025-03-11 17:11:10,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:EB:FF:58:FA:1E, 2025-03-11 17:11:10, 2025-03-11 17:11:10,  4, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,   6, Lyhouy, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
12:57:14:21:0F:45, 2025-03-11 17:11:09, 2025-03-11 17:11:10, -35,        8, F8:64:B8:44:5A:80,
48:9A:5B:3B:C1:4C, 2025-03-11 17:11:09, 2025-03-11 17:11:10, -73,       26, 98:DE:D0:83:C8:98,
34:C6:DD:49:F9:6C, 2025-03-11 17:11:10, 2025-03-11 17:11:10, -70,        1, A4:7E:39:08:1C:96,

